City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
199,ribeira grande,38.5167,-28.7,292.37,82,40,3.09,PT,1651685371
200,algiers,36.7525,3.042,291.05,77,75,2.57,DZ,1651685143
201,kloulklubed,7.0419,134.2556,299.43,77,63,8.64,PW,1651685372
202,sakakah,29.9697,40.2064,303.91,15,30,7.48,SA,1651685283
203,acajutla,13.5928,-89.8275,304.11,61,83,2.51,SV,1651685372
204,lasa,46.6166,10.7002,286.68,99,100,1.52,IT,1651685373
205,pangnirtung,66.1451,-65.7125,262.15,85,20,3.09,CA,1651685373
206,shenjiamen,29.9576,122.298,288.32,90,28,3.42,CN,1651685374
207,vuktyl,63.8567,57.3094,272.99,81,84,3.43,RU,1651685375
208,lavrentiya,65.5833,-171.0,266.6,91,95,3.5,RU,1651685377
209,san fernando,15.0286,120.6898,302.0,75,31,1.39,PH,1651685378
210,carnarvon,-24.8667,113.6333,290.19,67,7,3.6,AU,1651685379
211,tuktoyaktuk,69.4541,-133.0374,268.15,100,100,5.66,CA,1651685379
212,ambulu,-8.345,113.6058,298.04,92,100,1.35,ID,1651685380
213,tripoli,32.8752,13.1875,297.67,48,0,9.67,LY,1651685133
214,bonthe,7.5264,-12.505,303.46,66,49,4.9,SL,1651685381
215,riwaka,-41.0833,173.0,286.49,94,64,0.94,NZ,1651685381
216,bubaque,11.2833,-15.8333,299.48,66,13,6.22,GW,1651685382
217,fortuna,40.5982,-124.1573,288.11,81,0,4.12,US,1651685383
218,hithadhoo,-0.6,73.0833,302.69,72,100,8.53,MV,1651685384
219,neuquen,-38.9516,-68.0591,294.09,37,0,2.57,AR,1651685384
220,arinos,-15.9169,-46.1056,308.35,23,1,1.88,BR,1651685385
221,auki,-8.7676,160.7034,297.78,77,3,1.66,SB,1651685385
222,quatre cocos,-20.2078,57.7625,299.21,81,18,8.08,MU,1651685386
223,xining,36.6167,101.7667,286.33,35,9,1.75,CN,1651685386
224,biak,-0.9131,122.8766,298.09,83,100,1.0,ID,1651685387
225,talnakh,69.4865,88.3972,273.82,95,98,6.83,RU,1651685387
226,kolokani,13.5728,-8.0339,312.27,16,89,0.87,ML,1651685388
227,neiafu,-18.65,-173.9833,292.53,100,20,0.0,TO,1651685388
228,suruc,36.9761,38.425,289.46,78,100,3.16,TR,1651685388
229,bouafle,6.9904,-5.7442,304.53,59,57,1.26,CI,1651685389
230,roma,43.2128,-75.4557,285.78,95,100,2.57,US,1651685120
231,romitan,39.9343,64.3814,293.12,73,0,1.03,UZ,1651685391
232,arona,28.0996,-16.681,290.44,61,20,10.8,ES,1651685391
233,black river,18.0264,-77.8487,304.87,53,6,8.67,JM,1651685392
234,arlit,18.7369,7.3853,313.46,6,33,4.61,NE,1651685392
235,severo-kurilsk,50.6789,156.125,274.08,87,99,1.68,RU,1651685290
236,phan thiet,10.9333,108.1,298.48,90,97,3.31,VN,1651685372
237,shizuishan,39.2333,106.7694,295.97,10,34,1.85,CN,1651685394
238,cherskiy,68.75,161.3,272.37,99,100,1.67,RU,1651685394
239,islamabad,33.7104,73.1338,296.95,64,27,3.54,PK,1651685145
240,bandarbeyla,9.4942,50.8122,302.33,78,46,3.85,SO,1651685395
241,sembakung,3.8167,117.25,296.87,99,100,0.47,ID,1651685395
242,khandyga,62.6667,135.6,272.75,91,100,1.61,RU,1651685396
243,ahuimanu,21.4447,-157.8378,296.59,84,75,3.58,US,1651685396
244,hasaki,35.7333,140.8333,285.37,79,100,5.28,JP,1651685397
245,klaksvik,62.2266,-6.589,279.66,77,76,9.98,FO,1651685397
246,pisco,-13.7,-76.2167,295.18,73,59,4.12,PE,1651685397
247,reigate,51.2376,-0.2078,289.14,80,40,3.09,GB,1651685398
248,ostrovnoy,68.0531,39.5131,268.89,84,99,5.92,RU,1651685398
249,ocos,14.5094,-92.1933,303.25,65,96,5.26,GT,1651685399
250,sungaipenuh,-2.0833,101.3833,291.85,93,100,1.21,ID,1651685399
251,welkom,-27.9864,26.7066,291.31,35,47,2.25,ZA,1651685400
252,progreso,21.2833,-89.6667,306.54,57,1,5.75,MX,1651685401
253,moyale,3.5167,39.0584,294.14,75,96,2.11,KE,1651685401
254,merrill,45.1805,-89.6835,287.58,44,0,2.06,US,1651685402
255,marrakesh,31.6315,-8.0083,297.19,31,40,3.6,MA,1651685167
256,bocas del toro,9.3333,-82.25,301.6,76,69,3.65,PA,1651685403
257,college,64.8569,-147.8028,280.32,57,75,0.0,US,1651685407
258,provideniya,64.3833,-173.3,269.21,89,64,4.16,RU,1651685156
259,dryden,49.7833,-92.7503,284.31,40,75,3.09,CA,1651685409
260,kristiinankaupunki,62.2743,21.376,275.72,65,100,4.3,FI,1651685410
261,zhangjiakou,40.81,114.8794,293.43,20,92,1.95,CN,1651685411
262,tokur,53.1333,132.9,272.89,100,100,1.38,RU,1651685412
263,bengkulu,-3.8004,102.2655,297.31,87,93,1.49,ID,1651685412
264,meulaboh,4.1363,96.1285,298.08,88,100,1.63,ID,1651685413
265,mahebourg,-20.4081,57.7,299.31,78,40,7.2,MU,1651685413
266,lucapa,-8.4192,20.7447,296.45,68,97,1.55,AO,1651685414
267,petropavlovsk-kamchatskiy,53.0452,158.6483,269.48,100,0,2.0,RU,1651685195
268,morant bay,17.8815,-76.4093,304.66,70,11,6.06,JM,1651685415
269,goderich,43.7501,-81.7165,281.43,81,89,7.72,CA,1651685415
270,salalah,17.0151,54.0924,302.2,89,20,1.54,OM,1651685309
271,broken hill,-31.95,141.4333,281.99,76,50,3.09,AU,1651685417
272,hongjiang,27.11,109.9956,290.37,66,92,1.18,CN,1651685417
273,gayeri,12.6497,0.4931,312.37,11,92,2.25,BF,1651685418
274,guerrero negro,27.9769,-114.0611,291.85,56,1,5.62,MX,1651685418
275,tame,6.461,-71.73,305.03,46,74,3.98,CO,1651685419
276,vestmannaeyjar,63.4427,-20.2734,277.65,62,86,6.3,IS,1651685419
277,kitgum,3.2783,32.8867,293.37,89,100,1.74,UG,1651685420
278,bartlesville,36.7473,-95.9808,284.88,72,100,3.6,US,1651685420
279,esperance,-33.8667,121.9,286.06,61,99,3.42,AU,1651685421
280,tigil,57.8,158.6667,272.22,85,100,1.56,RU,1651685422
281,chlorakas,34.8042,32.4083,290.64,77,40,6.17,CY,1651685423
282,trujillo,-8.116,-79.03,292.13,82,20,5.14,PE,1651685263
283,kaitangata,-46.2817,169.8464,282.28,87,42,1.83,NZ,1651685424
284,tarko-sale,64.9225,77.785,277.1,87,100,11.49,RU,1651685425
285,allapalli,19.4167,80.0667,306.48,31,24,0.99,IN,1651685426
286,felanitx,39.4696,3.1483,292.57,66,100,9.5,ES,1651685248
287,saskylakh,71.9167,114.0833,267.6,91,100,2.76,RU,1651685427
288,chapais,49.7834,-74.8492,275.03,64,98,5.2,CA,1651685427
289,el alto,-4.2714,-81.2147,299.96,62,39,8.12,PE,1651685428
290,fomboni,-12.28,43.7425,301.21,71,25,2.84,KM,1651685428
291,poyarkovo,49.6,128.6833,280.02,81,100,5.26,RU,1651685429
292,bima,-8.4667,118.7167,297.65,94,83,1.96,ID,1651685430
